Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NH3 (µg/m³),Benzene (µg/m³),AT (°C),RH (%),AQI
2022-02-24,60.61,103.07,16.7,0.07,22.48,63.78,150.0
2022-02-20,48.67,103.61,22.5,0.06,19.32,58.66,95.0
2022-06-24,47.49,129.49,11.56,0.1,37.05,31.83,102.0
2022-07-09,28.54,66.28,11.81,0.07,34.04,62.02,69.0
2022-12-29,91.31,206.56,38.02,0.27,15.01,72.84,163.0
2022-07-07,18.4,47.16,4.08,0.04,34.39,59.3,49.0
2022-06-19,30.73,74.23,5.59,0.05,33.45,54.43,70.0
2022-02-28,31.68,73.83,18.34,0.06,20.47,54.3,69.0
2022-02-18,56.03,127.34,17.0,0.18,19.74,57.65,131.0
2022-08-24,15.85,36.01,14.35,0.08,29.17,80.76,37.0
2022-09-10,25.09,63.4,14.63,0.09,31.39,75.75,44.0
2022-01-22,73.86,146.98,20.38,0.77,12.9,88.4,231.0
2022-11-10,107.32,213.47,30.55,0.25,23.78,78.6,270.0
2022-06-10,94.4,215.69,6.04,0.16,37.44,38.24,172.0
2022-10-04,40.66,74.67,28.8,0.16,29.16,80.26,122.0
2022-07-11,21.67,52.78,8.87,0.07,34.95,57.5,54.0
2022-10-21,68.24,152.91,17.49,0.16,26.16,71.27,147.0
2022-12-10,95.81,259.55,42.12,0.47,17.9,80.77,218.0
2022-09-15,3.36,13.98,18.76,0.07,25.94,94.35,33.0
2022-11-05,116.42,211.44,36.67,0.25,24.26,81.1,236.0
2022-05-30,62.12,162.83,13.66,0.09,35.11,49.81,122.0
2022-05-11,29.93,58.03,12.06,0.08,34.43,49.28,73.0
2022-06-01,86.59,232.88,10.76,0.15,36.52,39.3,198.0
2022-04-10,66.31,173.78,16.74,0.0,33.3,29.92,144.0
2022-03-29,61.63,155.1,19.51,0.07,31.09,29.4,147.0
2022-11-27,100.85,257.71,41.17,0.31,18.95,75.04,212.0
2022-08-03,15.17,29.0,31.79,0.11,28.27,89.17,29.0
2022-05-02,43.83,122.55,17.33,0.09,33.76,47.87,148.0
2022-12-31,86.78,195.3,42.26,0.42,12.98,90.24,191.0
2022-01-21,107.67,246.76,19.78,0.47,13.91,82.5,184.0
2022-07-08,25.06,57.6,10.11,0.06,35.37,57.66,55.0
2022-03-13,56.86,148.97,16.58,0.08,24.87,54.05,151.0
2022-04-17,41.14,131.67,17.32,0.0,33.83,29.07,127.0
2022-09-28,50.19,107.41,26.27,0.18,29.67,78.3,80.0
2022-12-15,28.66,89.35,34.29,0.14,16.23,65.95,113.0
2022-04-13,49.74,128.17,16.64,0.0,33.35,45.16,123.0
